02178,Belmont,Massachusetts,MA,Middlesex,42.4464,-71.4594,
20736,Owings,Maryland,MD,Calvert,38.6955,-76.6061,
20737,Riverdale,Maryland,MD,Prince George's,38.9601,-76.9147,
20738,Riverdale,Maryland,MD,Prince George's,38.8336,-76.8777,
20740,College Park,Maryland,MD,Prince George's,38.9963,-76.9299,
20741,College Park,Maryland,MD,Prince George's,38.8336,-76.8777,
20742,College Park,Maryland,MD,Prince George's,38.9896,-76.9457,
20743,Capitol Heights,Maryland,MD,Prince George's,38.8897,-76.8925,
20744,Fort Washington,Maryland,MD,Prince George's,38.7587,-76.9835,
20745,Oxon Hill,Maryland,MD,Prince George's,38.8108,-76.9898,
20746,Suitland,Maryland,MD,Prince George's,38.8425,-76.9222,
20747,District Heights,Maryland,MD,Prince George's,38.8539,-76.8891,
20748,Temple Hills,Maryland,MD,Prince George's,38.8222,-76.9478,
20749,Fort Washington,Maryland,MD,Prince George's,38.8336,-76.8777,
20750,Oxon Hill,Maryland,MD,Prince George's,38.8336,-76.8777,
20751,Deale,Maryland,MD,Anne Arundel,38.7829,-76.5515,
20752,Suitland,Maryland,MD,Prince George's,38.8336,-76.8777,
20753,District Heights,Maryland,MD,Prince George's,38.8336,-76.8777,
20754,Dunkirk,Maryland,MD,Calvert,38.7408,-76.6427,
20755,Fort George G Meade,Maryland,MD,Anne Arundel,39.1059,-76.7467,
20757,Temple Hills,Maryland,MD,Prince George's,38.8336,-76.8777,
20758,Friendship,Maryland,MD,Anne Arundel,38.7361,-76.5835,
20759,Fulton,Maryland,MD,Howard,39.1502,-76.93,
20762,Andrews Air Force Base,Maryland,MD,Prince George's,38.8062,-76.8756,
20763,Savage,Maryland,MD,Howard,39.138,-76.8218,
20764,Shady Side,Maryland,MD,Anne Arundel,38.8368,-76.5109,
20765,Galesville,Maryland,MD,Anne Arundel,38.8446,-76.5456,
20768,Greenbelt,Maryland,MD,Prince George's,38.8336,-76.8777,
